Local Date,Local Time,Close,Low,High,Volume
07-Jun-2022,15:09:00,146.3400,146.2200,146.5700,"196,785"
07-Jun-2022,15:10:00,146.3800,146.3300,146.4788,"118,718"
07-Jun-2022,15:11:00,146.2300,146.2200,146.5899,"210,406"
07-Jun-2022,15:12:00,146.1400,146.0300,146.3300,"278,959"
07-Jun-2022,15:13:00,146.0700,145.9300,146.1900,"324,891"
07-Jun-2022,15:14:00,146.0600,145.9800,146.1200,"109,563"
07-Jun-2022,15:15:00,146.3550,146.0450,146.3700,"184,944"
07-Jun-2022,15:16:00,146.2588,146.1300,146.3900,"153,227"
07-Jun-2022,15:17:00,146.5805,146.2400,146.7200,"246,499"
07-Jun-2022,15:18:00,146.6600,146.4900,146.7100,"159,187"
07-Jun-2022,15:19:00,146.4650,146.4500,146.6700,"121,823"
07-Jun-2022,15:20:00,146.4049,146.2700,146.5500,"127,970"
07-Jun-2022,15:21:00,146.5000,146.3000,146.5150,"159,837"
07-Jun-2022,15:22:00,146.7900,146.5000,146.7900,"183,948"
07-Jun-2022,15:23:00,146.9400,146.6800,147.0300,"310,951"
07-Jun-2022,15:24:00,146.9200,146.8300,146.9500,"157,612"
07-Jun-2022,15:25:00,146.8460,146.8300,146.9400,"113,301"
07-Jun-2022,15:26:00,146.8801,146.7100,146.9000,"155,530"
07-Jun-2022,15:27:00,146.8500,146.7500,146.9750,"179,969"
07-Jun-2022,15:28:00,146.9000,146.7900,146.9150,"102,167"
07-Jun-2022,15:29:00,147.2299,146.8800,147.2800,"565,293"
07-Jun-2022,15:30:00,147.1800,147.1384,147.2900,"194,465"
07-Jun-2022,15:31:00,147.1605,147.1300,147.2650,"239,913"
07-Jun-2022,15:32:00,147.2750,147.1500,147.3300,"191,654"
07-Jun-2022,15:33:00,147.5250,147.2700,147.6700,"390,706"
07-Jun-2022,15:34:00,147.5286,147.4831,147.5800,"152,863"
07-Jun-2022,15:35:00,147.6300,147.4400,147.6900,"238,215"
07-Jun-2022,15:36:00,147.6500,147.5700,147.6700,"144,810"
07-Jun-2022,15:37:00,147.9600,147.6500,147.9950,"313,203"
07-Jun-2022,15:38:00,147.9900,147.8600,148.0658,"363,583"
07-Jun-2022,15:39:00,147.9400,147.9100,148.0900,"267,619"
07-Jun-2022,15:40:00,147.9384,147.8902,148.0600,"162,655"
07-Jun-2022,15:41:00,147.8084,147.7701,147.9900,"247,584"
07-Jun-2022,15:42:00,147.7989,147.7801,147.9390,"132,267"
07-Jun-2022,15:43:00,148.0400,147.7700,148.0500,"253,119"
07-Jun-2022,15:44:00,148.0100,148.0000,148.1100,"174,681"
07-Jun-2022,15:45:00,147.9401,147.8800,148.0700,"165,169"
07-Jun-2022,15:46:00,148.0006,147.8900,148.0600,"130,993"
07-Jun-2022,15:47:00,148.2372,148.0000,148.3000,"289,672"
07-Jun-2022,15:48:00,148.1963,148.1400,148.2700,"137,672"
07-Jun-2022,15:49:00,148.1980,148.1600,148.2400,"110,390"
07-Jun-2022,15:50:00,148.1784,148.1300,148.2400,"134,930"
07-Jun-2022,15:51:00,148.0800,148.0600,148.2200,"134,622"
07-Jun-2022,15:52:00,147.9050,147.8900,148.1087,"240,158"
07-Jun-2022,15:53:00,147.9240,147.8200,147.9500,"204,044"
07-Jun-2022,15:54:00,147.8607,147.8500,147.9600,"84,607"
07-Jun-2022,15:55:00,147.8701,147.8500,147.9300,"83,199"
07-Jun-2022,15:56:00,147.8100,147.7112,147.9000,"164,766"
07-Jun-2022,15:57:00,147.7893,147.7400,147.8648,"139,109"
07-Jun-2022,15:58:00,147.7100,147.6600,147.8288,"139,130"
07-Jun-2022,15:59:00,147.6200,147.6000,147.7900,"129,489"
07-Jun-2022,16:00:00,147.7450,147.5800,147.7700,"141,577"
07-Jun-2022,16:01:00,147.7400,147.6600,147.8300,"131,932"
07-Jun-2022,16:02:00,147.7201,147.6750,147.7600,"78,921"
